property_id,adresse,by_og_zip,ejendomsværdi_2024,grundværdi_2024,ejendomsværdi_2022,grundværdi_2022
1,Eskildsgade 56,1657 København V,0,39720000,0,0
3,"Jens Otto Krags Gade 12, 3 tv",2300 København S,5024000,2981000,0,0
2,"Jens Otto Krags Gade 12, 2 th",2300 København S,4836000,2873000,0,0
4,"Jens Otto Krags Gade 12, 3 th",2300 København S,4912000,2913000,0,0
5,"Jens Otto Krags Gade 12, 4 tv",2300 København S,5129000,3036000,0,0
6,"Jens Otto Krags Gade 12, 4 th",2300 København S,5016000,2965000,5091000,2986000
7,"Jens Otto Krags Gade 12, 5 tv",2300 København S,5125000,3034000,5202000,3055000
8,"Jens Otto Krags Gade 12, 5 th",2300 København S,5012000,2963000,0,0
9,"Jens Otto Krags Gade 12, 6 tv",2300 København S,4892000,2876000,4965000,2896000
10,"Jens Otto Krags Gade 12, 6 th",2300 København S,10134000,5428000,10286000,5466000
11,"Jens Otto Krags Gade 14, kl",2300 København S,0,5247000,0,0
12,"Jens Otto Krags Gade 16, st tv",2300 København S,3986000,2380000,4046000,2397000
13,"Jens Otto Krags Gade 16, st th",2300 København S,3986000,2380000,4046000,2397000
14,"Jens Otto Krags Gade 16, 1 tv",2300 København S,4976000,2990000,5051000,3011000
15,"Jens Otto Krags Gade 16, 1 th",2300 København S,5028000,3022000,5103000,3043000
16,"Jens Otto Krags Gade 16, 2 tv",2300 København S,5028000,3016000,5103000,3037000
17,"Jens Otto Krags Gade 16, 2 th",2300 København S,5079000,3048000,5155000,3069000
18,"Jens Otto Krags Gade 16, 3 tv",2300 København S,5106000,3056000,5183000,3077000
19,"Jens Otto Krags Gade 16, 3 th",2300 København S,5160000,3089000,5237000,3110000
9,"Jens Otto Krags Gade 12, 6 tv",2300 København S,4892000,2876000,0,0
7,"Jens Otto Krags Gade 12, 5 tv",2300 København S,5125000,3034000,0,0
6,"Jens Otto Krags Gade 12, 4 th",2300 København S,5016000,2965000,0,0
10,"Jens Otto Krags Gade 12, 6 th",2300 København S,10134000,5428000,0,0
23,"Jens Otto Krags Gade 16, 5 th",2300 København S,5263000,3141000,5342000,3163000
28,"Jens Otto Krags Gade 18, 1 tv",2300 København S,5034000,2997000,0,0
33,"Jens Otto Krags Gade 18, 3 th",2300 København S,5387000,3199000,5468000,3221000
38,"Jens Otto Krags Gade 18, 6 tv",2300 København S,8433000,4573000,0,0
43,"Jens Otto Krags Gade 20, 1 tv",2300 København S,5055000,3025000,5131000,3046000
48,"Jens Otto Krags Gade 20, 3 th",2300 København S,5027000,2993000,5102000,3014000
412,"Borgmester Jensens Allé 31D, 3 3",2100 København Ø,5159000,3313000,5236000,3336000
413,"Borgmester Jensens Allé 31D, 4 1",2100 København Ø,4265000,2705000,4329000,2724000
414,"Borgmester Jensens Allé 31D, 4 2",2100 København Ø,4893000,3126000,0,0
415,"Borgmester Jensens Allé 31D, 4 3",2100 København Ø,5160000,3302000,0,0
416,,,0,0,0,0
417,"Borgmester Jensens Allé 31D, 5 1",2100 København Ø,4158000,2633000,0,0
418,"Borgmester Jensens Allé 31D, 5 2",2100 København Ø,4783000,3054000,0,0
419,"Borgmester Jensens Allé 35, st tv",2100 København Ø,4181000,2685000,0,0
420,"Borgmester Jensens Allé 35, st th",2100 København Ø,4181000,2685000,0,0
421,"Borgmester Jensens Allé 35, 1 tv",2100 København Ø,5499000,3545000,0,0
422,"Borgmester Jensens Allé 35, 1 th",2100 København Ø,4221000,2701000,0,0
423,"Borgmester Jensens Allé 35, 2 tv",2100 København Ø,5556000,3576000,0,0
424,"Borgmester Jensens Allé 35, 2 th",2100 København Ø,4264000,2724000,0,0
425,"Borgmester Jensens Allé 35, 3 tv",2100 København Ø,5643000,3624000,0,0
426,"Borgmester Jensens Allé 35, 3 th",2100 København Ø,4331000,2761000,0,0
427,"Borgmester Jensens Allé 35, 4 tv",2100 København Ø,5762000,3689000,0,0
428,"Borgmester Jensens Allé 35, 4 th",2100 København Ø,4422000,2811000,0,0
429,"Borgmester Jensens Allé 35, 5 tv",2100 København Ø,5536000,3546000,0,0
430,"Borgmester Jensens Allé 35, 5 th",2100 København Ø,4314000,2739000,0,0
431,"Borgmester Jensens Allé 37, st tv",2100 København Ø,4182000,2686000,0,0
432,,,0,0,0,0
433,"Borgmester Jensens Allé 37, st th",2100 København Ø,4976000,3217000,0,0
434,"Borgmester Jensens Allé 37, 1 tv",2100 København Ø,5501000,3545000,0,0
435,"Borgmester Jensens Allé 37, 1 th",2100 København Ø,5134000,3309000,0,0
436,"Borgmester Jensens Allé 37, 2 tv",2100 København Ø,5558000,3577000,0,0
437,"Borgmester Jensens Allé 37, 2 th",2100 København Ø,5186000,3338000,0,0
438,"Borgmester Jensens Allé 37, 3 tv",2100 København Ø,5645000,3625000,0,0
439,"Borgmester Jensens Allé 37, 3 th",2100 København Ø,5268000,3383000,0,0
440,"Borgmester Jensens Allé 37, 4 tv",2100 København Ø,5764000,3690000,0,0
441,"Borgmester Jensens Allé 37, 4 th",2100 København Ø,5378000,3444000,0,0
442,"Borgmester Jensens Allé 37, 5 tv",2100 København Ø,5538000,3547000,0,0
443,"Borgmester Jensens Allé 37, 5 th",2100 København Ø,5212000,3337000,0,0
444,"Borgmester Jensens Allé 39, st",2100 København Ø,3843000,2455000,0,0
445,"Borgmester Jensens Allé 41, st 1",2100 København Ø,4721000,3055000,0,0
446,"Borgmester Jensens Allé 41, st 2",2100 København Ø,3752000,2398000,0,0
447,"Borgmester Jensens Allé 41, 1 1",2100 København Ø,4822000,3110000,0,0
448,,,0,0,0,0
449,"Borgmester Jensens Allé 41, 1 2",2100 København Ø,3832000,2442000,0,0
450,"Borgmester Jensens Allé 41, 1 3",2100 København Ø,4422000,2843000,0,0
451,"Borgmester Jensens Allé 41, 2 1",2100 København Ø,4871000,3137000,0,0
452,"Borgmester Jensens Allé 41, 2 2",2100 København Ø,4019000,2564000,0,0
453,"Borgmester Jensens Allé 41, 2 3",2100 København Ø,4517000,2902000,0,0
454,"Borgmester Jensens Allé 41, 3 1",2100 København Ø,4948000,3180000,0,0
455,"Borgmester Jensens Allé 41, 3 2",2100 København Ø,4793000,3078000,0,0
456,"Borgmester Jensens Allé 41, 3 3",2100 København Ø,6245000,4000000,0,0
457,,,0,0,0,0
458,"Borgmester Jensens Allé 41, 4 1",2100 København Ø,5051000,3238000,0,0
459,"Borgmester Jensens Allé 41, 4 2",2100 København Ø,4894000,3133000,0,0
460,"Borgmester Jensens Allé 41, 4 3",2100 København Ø,6376000,4073000,0,0
461,"Borgmester Jensens Allé 41, 5 2",2100 København Ø,4785000,3061000,0,0
462,"Borgmester Jensens Allé 41, 5 3",2100 København Ø,6256000,4000000,0,0
463,"Serridslevvej 22, st tv",2100 København Ø,4379000,2825000,0,0
464,"Serridslevvej 22, st th",2100 København Ø,6906000,4271000,0,0
465,"Serridslevvej 22, 1",2100 København Ø,5285000,3412000,0,0
466,"Serridslevvej 22, 2 tv",2100 København Ø,5339000,3442000,0,0
467,"Serridslevvej 22, 2 th",2100 København Ø,7550000,4623000,0,0
468,"Serridslevvej 22, 3",2100 København Ø,5369000,3454000,0,0
469,"Serridslevvej 22, 4 tv",2100 København Ø,5482000,3517000,0,0
470,"Serridslevvej 22, 4 th",2100 København Ø,8720000,5257000,0,0
471,"Serridslevvej 22, 5",2100 København Ø,9830000,5672000,0,0
472,"Serridslevvej 20, st tv",2100 København Ø,4380000,2826000,0,0
