property_id,adresse,by_og_zip,ejendomsværdi_2024,grundværdi_2024,ejendomsværdi_2022,grundværdi_2022
1,Eskildsgade 56,1657 København V,,39.720.000 kr.,,
3,"Jens Otto Krags Gade 12, 3 tv",2300 København S,5.024.000 kr.,2.981.000 kr.,,
2,"Jens Otto Krags Gade 12, 2 th",2300 København S,4.836.000 kr.,2.873.000 kr.,,
4,"Jens Otto Krags Gade 12, 3 th",2300 København S,4.912.000 kr.,2.913.000 kr.,,
5,"Jens Otto Krags Gade 12, 4 tv",2300 København S,5.129.000 kr.,3.036.000 kr.,,
6,"Jens Otto Krags Gade 12, 4 th",2300 København S,5.016.000 kr.,2.965.000 kr.,5.091.000 kr.,2.986.000 kr.
7,"Jens Otto Krags Gade 12, 5 tv",2300 København S,5.125.000 kr.,3.034.000 kr.,5.202.000 kr.,3.055.000 kr.
8,"Jens Otto Krags Gade 12, 5 th",2300 København S,5.012.000 kr.,2.963.000 kr.,,
9,"Jens Otto Krags Gade 12, 6 tv",2300 København S,4.892.000 kr.,2.876.000 kr.,4.965.000 kr.,2.896.000 kr.
10,"Jens Otto Krags Gade 12, 6 th",2300 København S,10.134.000 kr.,5.428.000 kr.,10.286.000 kr.,5.466.000 kr.
11,"Jens Otto Krags Gade 14, kl",2300 København S,,5.247.000 kr.,,
12,"Jens Otto Krags Gade 16, st tv",2300 København S,3.986.000 kr.,2.380.000 kr.,4.046.000 kr.,2.397.000 kr.
13,"Jens Otto Krags Gade 16, st th",2300 København S,3.986.000 kr.,2.380.000 kr.,4.046.000 kr.,2.397.000 kr.
14,"Jens Otto Krags Gade 16, 1 tv",2300 København S,4.976.000 kr.,2.990.000 kr.,5.051.000 kr.,3.011.000 kr.
15,"Jens Otto Krags Gade 16, 1 th",2300 København S,5.028.000 kr.,3.022.000 kr.,5.103.000 kr.,3.043.000 kr.
16,"Jens Otto Krags Gade 16, 2 tv",2300 København S,5.028.000 kr.,3.016.000 kr.,5.103.000 kr.,3.037.000 kr.
17,"Jens Otto Krags Gade 16, 2 th",2300 København S,5.079.000 kr.,3.048.000 kr.,5.155.000 kr.,3.069.000 kr.
18,"Jens Otto Krags Gade 16, 3 tv",2300 København S,5.106.000 kr.,3.056.000 kr.,5.183.000 kr.,3.077.000 kr.
19,"Jens Otto Krags Gade 16, 3 th",2300 København S,5.160.000 kr.,3.089.000 kr.,5.237.000 kr.,3.110.000 kr.
3,"Jens Otto Krags Gade 12, 3 tv",2300 København S,5.024.000 kr.,2.981.000 kr.,,
8,"Jens Otto Krags Gade 12, 5 th",2300 København S,5.012.000 kr.,2.963.000 kr.,,
3,"Jens Otto Krags Gade 12, 3 tv",2300 København S,5.024.000 kr.,2.981.000 kr.,,
